Address,place_id,Amenities
"Julianaplein 1, Amsterdam",ChIJCwHQg38JxkcRJeVtM9mPCnM,"post_box, recycling, fast_food, restaurant, recycling, post_box, recycling, fast_food, post_box, recycling, recycling, recycling, recycling, recycling, recycling, recycling, recycling, police, restaurant, bar, cafe, fast_food, fire_station, clinic, cafe, bank, bicycle_parking, parking, bicycle_parking, recycling, toilets, lockers, cafe, restaurant, bench, bench, bench, bench, recycling, recycling, bicycle_parking, drinking_water, bench, bench, bench, bench, bench, restaurant, restaurant, bicycle_parking, bicycle_parking, bicycle_rental, parking, parking_entrance, parking_entrance, bench, bench, bench, vending_machine, vending_machine, bench, bench, bench, bench, bench, piano, toilets, charging_station, doctors, bench, restaurant, restaurant, bench, bench, bench, bench, bench, parking, bench, bench, bench, bench, drinking_water, bench, bench, bench, clock, clock, clock, bank, waste_basket, boat_rental, post_box, public_bookcase, bicycle_parking, restaurant, bench, bench, bench, bench, bench, bench, bench, vending_machine"
"Joan Muyskenweg 22, 1096 CJ Amsterdam",ChIJxZHiajgLxkcRlOo3zmIibOs,"parking, post_box, parking, fuel, charging_station, charging_station, charging_station, charging_station, charging_station, motorcycle_parking, bench, bench, bench, bench"
"Nieuwe Leeuwarderweg, 1021 BZ Amsterdam",ChIJYyOpnFQIxkcRErWFhYVuAeQ,"fuel, post_box, fast_food, pharmacy, pub, pub, pub, bench, waste_basket, bench, bench, bench, waste_basket, bench, bench, waste_basket, bench, bench, waste_basket, bench, waste_disposal, recycling, recycling, recycling, recycling, recycling, recycling, recycling, post_box, waste_disposal, toilets, parking, bicycle_parking, restaurant, restaurant, restaurant, cafe, fast_food, fast_food, ice_cream, pharmacy, studio, pub, fast_food, fast_food, parking_entrance, place_of_worship, restaurant, parking, recycling, recycling, recycling, recycling, recycling, waste_basket, waste_basket, drinking_water, drinking_water, drinking_water, drinking_water, drinking_water, drinking_water, drinking_water, parking_entrance, bbq, drinking_water, taxi, parking, fountain, bench, bench, bench, bench, bench, bench, bench, bench, restaurant, dentist, toilets, bench, bench, bench, bench, drinking_water, bench, bench, bench, bench, recycling, recycling, bench, recycling, recycling, recycling, shelter, shelter, waste_basket, bench, bench, waste_basket, waste_basket, bench, bench, charging_station, fast_food, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench"
"Spoorslag 29, 1082 MM Amsterdam",ChIJ15K9igQKxkcR8A7le6H02hI,"cafe, parking, place_of_worship, restaurant, cafe, parking, arts_centre, theatre, bank, bicycle_parking, bicycle_parking, restaurant, restaurant, parking_entrance, recycling, bicycle_parking, parking_entrance, fast_food, restaurant, cafe, dentist, bicycle_parking, cafe, ice_cream, fast_food, bench, bench, bench, kindergarten, vending_machine, fast_food, restaurant, restaurant, bank, restaurant, bicycle_rental, fast_food, restaurant, bar, cafe, restaurant, restaurant, parking, restaurant, pub, bank, cafe, cafe, cafe, taxi, taxi, motorcycle_parking, cafe, cafe, toilets, bench, bench, cafe, school, cafe, restaurant, kindergarten, post_box, food_court, bench, cafe, bicycle_rental, bicycle_rental, charging_station, bench, bench, bench, parking_entrance, bench, bench, bench, bicycle_rental, restaurant, cafe, fast_food, restaurant, bench, drinking_water, drinking_water, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, shelter, shelter, shelter, vending_machine, vending_machine, vending_machine, vending_machine, bar, drinking_water, cafe, vending_machine, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, kindergarten, drinking_water, parking_entrance, parking_entrance, parking, restaurant, bench, bench, bench, bench, bench, atm, bench, bench, parking_entrance, cafe, doctors, pharmacy, parking_entrance"
"Julianaplein Oost, 1097 DN Amsterdam",ChIJPd2JhH8JxkcRQ8jSHUchci0,"post_box, recycling, fast_food, restaurant, recycling, post_box, recycling, fast_food, post_box, recycling, recycling, recycling, recycling, recycling, recycling, recycling, recycling, police, fast_food, restaurant, bar, cafe, fast_food, fire_station, clinic, cafe, bank, bicycle_parking, parking, bicycle_parking, recycling, toilets, lockers, cafe, restaurant, bench, bench, bench, bench, recycling, recycling, recycling, bicycle_parking, drinking_water, bench, bench, bench, bench, bench, restaurant, restaurant, bicycle_parking, bicycle_parking, bicycle_rental, charging_station, parking, parking_entrance, parking_entrance, bench, bench, bench, vending_machine, vending_machine, bench, bench, bench, bench, bench, bench, piano, toilets, charging_station, doctors, bench, restaurant, restaurant, bench, bench, bench, bench, bench, parking, bench, bench, bench, bench, drinking_water, bench, bench, bench, clock, clock, clock, bank, waste_basket, boat_rental, post_box, public_bookcase, bicycle_parking, restaurant, bench, bench, bench, bench, bench, bench, bench, vending_machine"
"Termini 23, Amsterdam",ChIJn0fdmPwJxkcRYe7a-6JHfpI,"townhall, healthcare, social_centre, dentist, restaurant, pub, atm, fast_food, community_centre, studio, fast_food, dental_hygienist, restaurant, fast_food, social_facility, post_box, bench, bench, bench, fast_food, drinking_water, drinking_water, bicycle_parking, bench, bench, drinking_water, drinking_water, bicycle_parking, restaurant, pub, cinema, restaurant, cafe, cafe, fast_food, clinic, charging_station, bench, bench, parking, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, restaurant, charging_station, vending_machine, recycling, recycling, recycling, recycling, recycling, recycling, vending_machine, recycling, recycling, recycling, recycling, recycling, recycling, recycling, parking_entrance, parking_entrance, recycling, recycling, recycling, waste_basket, dentist, recycling, recycling, recycling, recycling, recycling, recycling, vending_machine, parking_entrance, recycling, recycling, recycling, recycling, recycling, recycling, recycling, waste_basket, waste_basket, bench, bench, bench, charging_station, vending_machine, recycling, parking_entrance, recycling, recycling, recycling, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, school, school, bench, bench, bench, fountain"
"Stationsplein 39, 1012 AB Amsterdam",ChIJf_z8xbcJxkcRCc-nQwIMAP8,"restaurant, pub, pub, pub, restaurant, bureau_de_change, bureau_de_change, bureau_de_change, restaurant, restaurant, bicycle_parking, post_box, fast_food, pub, bus_station, taxi, atm, restaurant, restaurant, cafe, restaurant, restaurant, cafe, fast_food, atm, cafe, restaurant, nightclub, pub, cafe, restaurant, restaurant, pub, restaurant, restaurant, bar, fast_food, restaurant, restaurant, restaurant, fast_food, vending_machine, cafe, pub, bar, atm, fast_food, fast_food, restaurant, pub, pub, restaurant, bar, bar, restaurant, restaurant, pub, restaurant, restaurant, pub, restaurant, restaurant, fast_food, bicycle_parking, pub, pub, cafe, fast_food, restaurant, restaurant, fast_food, bar, cafe, bicycle_rental, restaurant, pub, restaurant, fast_food, pub, fast_food, restaurant, cafe, bar, fast_food, fast_food, fast_food, bar, restaurant, fast_food, restaurant, casino, restaurant, restaurant, restaurant, restaurant, restaurant, restaurant, restaurant, fast_food, fast_food, fast_food, cafe, social_facility, restaurant, restaurant, pub, fast_food, pub, restaurant, pub, restaurant, restaurant, fast_food, fast_food, fast_food, bar, fast_food, fast_food, restaurant, restaurant, fast_food, restaurant, restaurant, fast_food, fast_food, restaurant, fast_food, restaurant, restaurant, cafe, pub, restaurant, bicycle_rental, restaurant, restaurant, restaurant, restaurant, restaurant, restaurant, pub, bar, coworking_space, bar, bar, pub, bar, pub, bar, community_centre, pub, pub, pub, restaurant, accupuncture, brothel, restaurant, restaurant, restaurant, cafe, cafe, cafe, cafe, parking_entrance, cafe, restaurant, atm, parking_entrance, parking_entrance, fast_food, ice_cream, restaurant, toilets, pub, fast_food, restaurant, fast_food, cafe, pub, fast_food, fast_food, bicycle_rental, bicycle_repair_station, atm, fast_food, restaurant, restaurant, restaurant, restaurant, atm, cafe, cafe, fast_food, fast_food, restaurant, fast_food, fast_food, restaurant, cafe, restaurant, restaurant, restaurant, pub, restaurant, restaurant, cafe, fast_food, fast_food, restaurant, cafe, fast_food, restaurant, restaurant, vending_machine, vending_machine, vending_machine, vending_machine, vending_machine, vending_machine, restaurant, restaurant, cannabis, restaurant, restaurant, restaurant, restaurant, fast_food, restaurant, restaurant, fast_food, fast_food, fast_food, restaurant, fast_food, pub, fast_food, restaurant, fast_food, cafe, bar, restaurant, restaurant, restaurant, toilets, restaurant, parking, parking, restaurant, restaurant, restaurant, fast_food, pub, restaurant, restaurant, pub, cafe, restaurant, bar, restaurant, ice_cream, bar, fast_food, fast_food, fast_food, pub, restaurant, restaurant, bar, pub, bar, pub, fast_food, bar, restaurant, cannabis, atm, toilets, bar, restaurant, pharmacy, cafe, toilets, cafe, accupuncture, restaurant, cafe, restaurant, fast_food, restaurant, restaurant, drinking_water, restaurant, bicycle_parking, waste_basket, waste_basket, bench, vending_machine, vending_machine, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, shelter, shelter, shelter, shelter, shelter, shelter, bench, bench, bench, shelter, shelter, shelter, shelter, vending_machine, vending_machine, vending_machine, vending_machine, cafe, restaurant, bar, fast_food, restaurant, waste_basket, toilets, toilets, waste_basket, public_bookcase, piano, waste_basket, waste_basket, waste_basket, waste_basket, fast_food, parking_entrance, parking, restaurant, taxi, fast_food, restaurant, fast_food, cafe, bar, restaurant, bicycle_rental, bicycle_rental, bicycle_rental, cafe, car_rental, bureau_de_change, bar, restaurant, cafe, cafe, restaurant, fast_food, waste_basket, waste_basket, waste_basket, waste_basket, bicycle_parking, drinking_water, ferry_terminal, restaurant, restaurant, bicycle_parking, bicycle_parking, atm, atm, social_facility, pub, atm, casino, atm, recycling, recycling, waste_basket, vending_machine, bicycle_parking, bicycle_parking, bicycle_parking, bicycle_parking, bicycle_parking, bicycle_parking, bicycle_parking, bicycle_parking, bicycle_parking, clock, bar, waste_basket, shelter, recycling, recycling, recycling, recycling, clock, waste_basket, waste_basket, waste_basket, vending_machine, parking_entrance"
"Cornelis Lelylaan 35, 1062 HD Amsterdam",ChIJ71V5XiPixUcRSKlH5OYy-iE,"recycling, recycling, recycling, post_box, restaurant, pharmacy, vending_machine, bicycle_parking, bicycle_parking, post_box, bicycle_parking, bench, recycling, waste_basket, waste_basket, recycling, waste_basket, bicycle_parking, waste_basket, bench, bicycle_parking, recycling, recycling, recycling, recycling, recycling, recycling, recycling, recycling, recycling, cafe, recycling, vending_machine, atm, recycling, recycling, recycling, recycling, recycling, recycling, recycling, recycling, recycling, recycling, recycling, waste_basket, clock, waste_basket, waste_basket, waste_basket, school, cafe, recycling, waste_disposal, bench, recycling, vending_machine, bench, bench, recycling, vending_machine, vending_machine, post_box, fast_food, fast_food, fast_food, fast_food, cafe, restaurant, restaurant, fast_food, bench, bench, bench, bench, bench, bench, bench, vending_machine, vending_machine, vending_machine, vending_machine, waste_basket, waste_basket, drinking_water, drinking_water, drinking_water, school, waste_basket, waste_basket, shelter, bicycle_parking"
"Europaboulevard 4A, 1083 AD Amsterdam",ChIJLWMViCIKxkcRi1ThzDUCzCo,"theatre, conference_centre, parking, parking, parking_entrance, townhall, bench, bench, bench, bench, parking, parking_entrance, place_of_worship, restaurant, restaurant, clinic, restaurant, bench, bench, parking, coworking_space, drinking_water, bench, bench, bench, post_box, bench, bench, bench, bench, bench, bench, bench, vending_machine, vending_machine, vending_machine, vending_machine, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, cafe, parking_entrance, drinking_water, drinking_water, bench, toilets, recycling, parking_entrance, car_rental, car_rental, waste_basket, bicycle_parking, waste_basket, atm, parking_space, parking_space, bench, bench, parking_space, parking_space, college, bench, bench, bench, bench, waste_basket, waste_basket, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench"
"Kattenburgerstraat 5, 1018 JA Amsterdam",ChIJ8exiz50JxkcRA0dHjOHV59g,"pub, post_box, restaurant, restaurant, restaurant, restaurant, recycling, post_box, pharmacy, restaurant, fire_station, bicycle_parking, bicycle_parking, bicycle_parking, bicycle_parking, bicycle_parking, bicycle_parking, bicycle_parking, bicycle_parking, bicycle_parking, bicycle_parking, bicycle_parking, bicycle_parking, bicycle_parking, bicycle_parking, bicycle_parking, school, restaurant, restaurant, pub, restaurant, pub, doctors, fast_food, cafe, restaurant, cafe, atm, bench, bench, restaurant, cafe, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, charging_station, charging_station, charging_station, charging_station, toilets, restaurant, restaurant, cafe, drinking_water, drinking_water, drinking_water, fast_food, bench, bench, college, restaurant, restaurant, parking_entrance, parking_entrance, bicycle_parking, restaurant, bicycle_parking, bicycle_parking, bicycle_parking, bicycle_parking, charging_station, waste_basket, bench, bench, waste_disposal, recycling, post_box, recycling, recycling, waste_basket, waste_disposal, recycling, bench, bench, bench, bench, bench, bench, waste_basket, waste_basket, bench, waste_basket, bench, cafe, pub, restaurant, public_bookcase, waste_basket, bench, bench, parking_entrance, restaurant, drinking_water, public_bookcase, clock, bench, bench, bench, bench, bench, cafe"
