ID,ModesOfTravel,Population,TravelPurposes,Margins,RegionCharacteristics,Periods,AverageDistanceTravelledPerTrip_1,AverageTravelTimePerTrip_2
4,Total,Population 6 years or older,Total,Value,The Netherlands,2022,11.2,26.96
334,Total,Population 6 years or older,"Travel to/from work, (non)-daily commute",Value,The Netherlands,2022,17.61,27.96
664,Total,Population 6 years or older,Professionally,Value,The Netherlands,2022,25.43,33.17
994,Total,Population 6 years or older,Services/care,Value,The Netherlands,2022,7.92,18.44
1324,Total,Population 6 years or older,"Shopping, groceries, funshopping.",Value,The Netherlands,2022,4.92,14.03
1654,Total,Population 6 years or older,Attending education/courses,Value,The Netherlands,2022,8.86,23.74
1984,Total,Population 6 years or older,Visits including staying overnight,Value,The Netherlands,2022,19.08,28.13
2314,Total,Population 6 years or older,"Leisure, sports",Value,The Netherlands,2022,11.84,30.27
2644,Total,Population 6 years or older,Touring/walking,Value,The Netherlands,2022,7.32,59.09
2974,Total,Population 6 years or older,Other,Value,The Netherlands,2022,8.78,17.54
6604,Passenger car (driver),Population 6 years or older,Total,Value,The Netherlands,2022,17.44,24.71
6934,Passenger car (driver),Population 6 years or older,"Travel to/from work, (non)-daily commute",Value,The Netherlands,2022,23.85,29.69
7264,Passenger car (driver),Population 6 years or older,Professionally,Value,The Netherlands,2022,30.2,34.75
7594,Passenger car (driver),Population 6 years or older,Services/care,Value,The Netherlands,2022,12.05,20.52
7924,Passenger car (driver),Population 6 years or older,"Shopping, groceries, funshopping.",Value,The Netherlands,2022,7.4,14.07
8254,Passenger car (driver),Population 6 years or older,Attending education/courses,Value,The Netherlands,2022,29.73,34.94
8584,Passenger car (driver),Population 6 years or older,Visits including staying overnight,Value,The Netherlands,2022,26.05,30.79
8914,Passenger car (driver),Population 6 years or older,"Leisure, sports",Value,The Netherlands,2022,18.33,26.61
9244,Passenger car (driver),Population 6 years or older,Touring/walking,Value,The Netherlands,2022,25.62,75.8
9574,Passenger car (driver),Population 6 years or older,Other,Value,The Netherlands,2022,11.55,18.59
13204,Passenger car (passenger),Population 6 years or older,Total,Value,The Netherlands,2022,19.61,29.18
13534,Passenger car (passenger),Population 6 years or older,"Travel to/from work, (non)-daily commute",Value,The Netherlands,2022,21.96,29.66
13864,Passenger car (passenger),Population 6 years or older,Professionally,Value,The Netherlands,2022,32.05,37.04
14194,Passenger car (passenger),Population 6 years or older,Services/care,Value,The Netherlands,2022,11.86,21.81
14524,Passenger car (passenger),Population 6 years or older,"Shopping, groceries, funshopping.",Value,The Netherlands,2022,11.06,19.07
14854,Passenger car (passenger),Population 6 years or older,Attending education/courses,Value,The Netherlands,2022,8.84,18.29
15184,Passenger car (passenger),Population 6 years or older,Visits including staying overnight,Value,The Netherlands,2022,29.14,33.3
15514,Passenger car (passenger),Population 6 years or older,"Leisure, sports",Value,The Netherlands,2022,21.64,31.89
